Algorithm,Data Type,Size,Time (ms),Comparisons
"MSDRadixSortWithSwitch","almost_sorted",200,0.0354,1620
"QuickSort","almost_sorted",300,0.4592,43962
"MergeSort","almost_sorted",300,0.255,1500
"StringQuickSort","almost_sorted",300,0.0273,2927
"StringMergeSort","almost_sorted",300,0.3022,1500
"MSDRadixSort","almost_sorted",300,0.159,722
"MSDRadixSortWithSwitch","almost_sorted",300,0.0517,2409
"QuickSort","almost_sorted",400,0.8395,78220
"MergeSort","almost_sorted",400,0.471,2320
"StringQuickSort","almost_sorted",400,0.0398,4285
"StringMergeSort","almost_sorted",400,0.5782,2320
"MSDRadixSort","almost_sorted",400,0.2267,960
"MSDRadixSortWithSwitch","almost_sorted",400,0.078,3118
"QuickSort","almost_sorted",500,1.2491,122276
"MergeSort","almost_sorted",500,0.4356,2927
"StringQuickSort","almost_sorted",500,0.0539,5913
"StringMergeSort","almost_sorted",500,0.5329,2927
"MSDRadixSort","almost_sorted",500,0.2803,1190
"MSDRadixSortWithSwitch","almost_sorted",500,0.093,3869
"QuickSort","almost_sorted",600,0.9969,98694
"MergeSort","almost_sorted",600,0.5559,3768
"StringQuickSort","almost_sorted",600,0.07,7811
"StringMergeSort","almost_sorted",600,0.6733,3768
"MSDRadixSort","almost_sorted",600,0.3357,1434
"MSDRadixSortWithSwitch","almost_sorted",600,0.1111,4646
"QuickSort","almost_sorted",700,1.6448,163244
"MergeSort","almost_sorted",700,0.6996,4571
"StringQuickSort","almost_sorted",700,0.0861,10015
"StringMergeSort","almost_sorted",700,0.8657,4571
"MSDRadixSort","almost_sorted",700,0.3982,1671
"MSDRadixSortWithSwitch","almost_sorted",700,0.1304,5413
"QuickSort","almost_sorted",800,2.2431,237794
"MergeSort","almost_sorted",800,0.7618,5272
"StringQuickSort","almost_sorted",800,0.1058,12443
"StringMergeSort","almost_sorted",800,0.9183,5272
"MSDRadixSort","almost_sorted",800,0.4676,1922
"MSDRadixSortWithSwitch","almost_sorted",800,0.1445,6166
"QuickSort","almost_sorted",900,3.1177,321453
"MergeSort","almost_sorted",900,0.8915,6096
"StringQuickSort","almost_sorted",900,0.1287,15214
"StringMergeSort","almost_sorted",900,1.028,6096
"MSDRadixSort","almost_sorted",900,0.5027,2158
"MSDRadixSortWithSwitch","almost_sorted",900,0.1649,6913
"QuickSort","almost_sorted",1000,4.3605,414915
"MergeSort","almost_sorted",1000,0.9772,6465
"StringQuickSort","almost_sorted",1000,0.1524,18351
"StringMergeSort","almost_sorted",1000,1.1582,6465
"MSDRadixSort","almost_sorted",1000,0.591,2396
"MSDRadixSortWithSwitch","almost_sorted",1000,0.1822,7673
"QuickSort","almost_sorted",1100,4.9651,519262
"MergeSort","almost_sorted",1100,1.065,7475
"StringQuickSort","almost_sorted",1100,0.1808,21750
"StringMergeSort","almost_sorted",1100,1.2827,7475
"MSDRadixSort","almost_sorted",1100,0.6147,2647
"MSDRadixSortWithSwitch","almost_sorted",1100,0.2993,8441
"QuickSort","almost_sorted",1200,6.0968,632424
"MergeSort","almost_sorted",1200,1.2009,8630
"StringQuickSort","almost_sorted",1200,0.2058,25432
"StringMergeSort","almost_sorted",1200,1.4197,8630
"MSDRadixSort","almost_sorted",1200,0.6978,2893
"MSDRadixSortWithSwitch","almost_sorted",1200,0.2255,9237
"QuickSort","almost_sorted",1300,3.1523,323496
"MergeSort","almost_sorted",1300,1.3665,9429
"StringQuickSort","almost_sorted",1300,0.2454,29559
"StringMergeSort","almost_sorted",1300,1.5732,9429
"MSDRadixSort","almost_sorted",1300,0.7325,3143
"MSDRadixSortWithSwitch","almost_sorted",1300,0.2414,10108
"QuickSort","almost_sorted",1400,4.3692,457946
"MergeSort","almost_sorted",1400,1.3971,10476
"StringQuickSort","almost_sorted",1400,0.2766,33969
"StringMergeSort","almost_sorted",1400,1.6847,10476
"MSDRadixSort","almost_sorted",1400,0.7955,3378
"MSDRadixSortWithSwitch","almost_sorted",1400,0.2658,10844
"QuickSort","almost_sorted",1500,5.7788,602396
"MergeSort","almost_sorted",1500,1.4981,10818
"StringQuickSort","almost_sorted",1500,0.3057,38265
"StringMergeSort","almost_sorted",1500,1.8121,10818
"MSDRadixSort","almost_sorted",1500,0.8772,3620
"MSDRadixSortWithSwitch","almost_sorted",1500,0.3591,11569
"QuickSort","almost_sorted",1600,7.4992,756846
